Year,Artist,Song,CompressedRatio
2001,mary j blige,family affair,64.819
2002,mary j blige,family affair,64.819
1990,calloway,i wanna be rich,64.821
1985,wham featuring george michael,careless whisper,64.826
1992,billy ray cyrus,achy breaky heart,64.835
2012,nicki minaj,starships,64.835
1966,the righteous brothers,youre my soul and inspiration,64.84
2009,katy perry,waking up in vegas,64.846
1980,olivia newtonjohn,magic,64.854
1986,starship,sara,64.854
1969,the temptations,i cant get next to you,64.856
2002,sheryl crow,soak up the sun,64.856
1974,eddie kendricks,boogie down,64.865
1977,alice cooper,you and me,64.865
1991,amy grant,baby baby,64.865
2009,asher roth,i love college,64.865
1979,rex smith,you take my breath away,64.885
1981,electric light orchestra,hold on tight,64.889
1985,the pointer sisters,neutron dance,64.89
1998,missy elliott featuring da brat,sock it 2 me,64.89
2004,jayz,change clothes,64.89
2007,fall out boy,this aint a scene its an arms race,64.897
1971,the 5th dimension,one less bell to answer,64.898
1993,pm dawn,looking through patient eyes,64.898
1968,aretha franklin,think,64.901
1973,al green,here i am come and take me,64.901
1976,earth wind  fire,getaway,64.906
1977,electric light orchestra,livin thing,64.912
1983,irene cara,flashdance what a feeling,64.912
2000,eminem,the real slim shady,64.916
1988,paul carrack,dont shed a tear,64.921
1986,billy ocean,therell be sad songs to make you cry,64.925
1986,elton john,nikita,64.931
1987,pseudo echo,funkytown,64.935
2010,orianthi,according to you,64.935
1968,aretha franklin,i say a little prayer,64.94
1986,scritti politti,perfect way,64.948
1986,glass tiger,dont forget me when im gone,64.948
1986,mr mister,broken wings,64.957
1986,whitney houston,greatest love of all,64.964
2003,train,calling all angels,64.968
2007,hinder,better than me,64.983
2013,olly murs featuring flo rida,troublemaker,64.989
1971,olivia newtonjohn,if not for you,65
1993,tina turner,i dont wanna fight,65
2010,justin bieber featuring ludacris,baby,65.012
1977,steve miller band,jet airliner,65.015
1984,dan hartman,i can dream about you,65.021
2000,nelly,country grammar hot shit,65.025
1967,hermans hermits,theres a kind of hush,65.027
1975,linda ronstadt,youre no good,65.027
2010,keha featuring 3oh3,blah blah blah,65.031
1983,earth wind  fire,fall in love with me,65.035
2002,angie martinez featuring lil mo and sacario,if i could go,65.035
2005,50 cent,disco inferno,65.035
1973,johnnie taylor,i believe in you you believe in me,65.037
1981,the alan parsons project,time,65.041
2002,nore,nothin,65.042
1988,johnny hates jazz,shattered dreams,65.044
1991,amy grant,every heartbeat,65.056
2012,miguel,adorn,65.06
2013,miguel,adorn,65.06
1984,christopher cross,think of laura,65.066
2011,taylor swift,back to december,65.083
1989,babyface,its no crime,65.085
2012,nicki minaj,pound the alarm,65.085
1967,the cowsills,the rain the park  other things,65.086
1981,kenny rogers,i dont need you,65.089
1992,jodeci,come and talk to me,65.089
2002,chad kroeger featuring josey scott,hero,65.094
1979,gino vannelli,i just wanna stop,65.104
2006,shakira featuring wyclef jean,hips dont lie,65.104
2004,ryan cabrera,on the way down,65.106
1971,tom jones,shes a lady,65.108
1990,after 7,ready or not,65.108
1976,cliff richard,devil woman,65.123
2006,keyshia cole,love,65.125
2010,bruno mars,just the way you are,65.125
2011,bruno mars,just the way you are,65.125
1973,johnny nash,stir it up,65.152
2005,natasha bedingfield,these words,65.16
2005,green day,boulevard of broken dreams,65.164
1968,aretha franklin,sweet sweet baby since youve been gone,65.169
2003,avril lavigne,im with you,65.182
2003,matchbox twenty,unwell,65.19
2014,lil wayne featuring drake,believe me,65.203
1999,alabama and n sync,god must have spent a little more time on you,65.204
2013,lorde,royals,65.205
2014,lorde,royals,65.205
1988,george michael,father figure,65.207
2000,sting featuring cheb mami,desert rose,65.229
1984,night ranger,when you close your eyes,65.231
2005,ying yang twins,wait the whisper song,65.235
1972,the moody blues,nights in white satin,65.244
1988,whitney houston,where do broken hearts go,65.244
1994,jodeci,cry for you,65.257
2008,chris brown,forever,65.258
1982,diana ross,mirror mirror,65.263
2009,kid cudi,day n nite,65.263
1980,michael jackson,rock with you,65.272
1982,stevie nicks,edge of seventeen just like the white winged dove,65.278
2008,kanye west featuring tpain,good life,65.278
1975,ace,how long,65.285
2003,50 cent,wanksta,65.297
1982,little river band,take it easy on me,65.299
1981,gary us bonds,this little girl,65.3
2002,alanis morissette,hands clean,65.301
2004,lil flip,game over flip,65.31
1991,inxs,disappear,65.314
1983,stevie nicks,stand back,65.32
2000,blaque,bring it all to me,65.333
2014,lee brice,i dont dance,65.347
1987,samantha fox,touch me i want your body,65.354
1975,orleans,dance with me,65.359
1994,brandy,i wanna be down,65.359
1995,brandy,i wanna be down,65.359
1970,dionne warwick,ill never fall in love again,65.366
1970,stevie wonder,signed sealed delivered im yours,65.37
1974,grand funk railroad,the locomotion,65.37
1998,boyz ii men,a song for mama,65.374
1979,electric light orchestra,shine a little love,65.375
2005,frankie j featuring baby bash,obsession no es amor,65.376
1989,cher and peter cetera,after all,65.385
2000,backstreet boys,show me the meaning of being lonely,65.385
2001,jayz,i just wanna love u give it 2 me,65.408
2005,young jeezy featuring akon,soul survivor,65.418
2006,young jeezy featuring akon,soul survivor,65.418
2008,gavin degraw,in love with a girl,65.423
1983,champaign,try again,65.428
1975,harry chapin,cats in the cradle,65.429
1969,bobby sherman,little woman,65.438
1994,meat loaf,rock and roll dreams come through,65.438
1988,elton john,i dont wanna go on with you like that,65.449
2013,macklemore and ryan lewis featuring ray dalton,cant hold us,65.452
1969,sly  the family stone,hot fun in the summertime,65.468
1991,wilson phillips,youre in love,65.468
2004,nick cannon featuring r kelly,gigolo,65.47
1985,wham,wake me up before you gogo,65.473
1966,the supremes,you keep me hangin on,65.48
1987,kim wilde,you keep me hangin on,65.48
2013,emeli sande,next to me,65.48
2010,keha,your love is my drug,65.499
2010,alicia keys,unthinkable im ready,65.506
2007,crime mob and lil scrappy,rock yo hips,65.507
1975,bee gees,jive talkin,65.517
1976,john travolta,let her in,65.517
1987,janet jackson,control,65.517
1992,luther vandross and janet jackson,the best things in life are free,65.517
1993,positive k,i got a man,65.517
2014,5 seconds of summer,she looks so perfect,65.517
1967,marvin gaye  tammi terrell,aint no mountain high enough,65.53
1988,bobby mcferrin,dont worry be happy,65.53
2009,flo rida,right round,65.53
2010,michael buble,havent met you yet,65.556
1967,peaches  herb,close your eyes,65.563
1999,chante moore,chantes got a man,65.588
1967,the electric prunes,i had too much to dream last night,65.596
1982,deniece williams,its gonna take a miracle,65.596
1996,planet soul,set u free,65.596
2009,jeremih,birthday sex,65.605
1966,the association,cherish,65.615
1992,def leppard,have you ever needed someone so bad,65.615
2009,kelly clarkson,already gone,65.615
2010,kelly clarkson,already gone,65.615
1994,ini kamoze,here comes the hotstepper,65.616
1995,ini kamoze,here comes the hotstepper,65.616
1971,janis joplin,me and bobby mcgee,65.632
1984,kool  the gang,joanna,65.649
2008,kardinal offishall featuring akon,dangerous,65.653
1974,charlie rich,the most beautiful girl,65.672
1971,ringo starr,it dont come easy,65.686
1981,the greg kihn band,the breakup song they dont write em,65.702
2011,diddy  dirty money featuring skylar grey,coming home,65.719
2007,linkin park,what ive done,65.73
1973,johnny rivers,rockin pneumonia and the boogie woogie flu,65.734
1995,mokenstef,hes mine,65.736
2015,wiz khalifa featuring charlie puth,see you again,65.737
1987,genesis,in too deep,65.738
1975,electric light orchestra,cant get it out of my head,65.753
2000,vertical horizon,everything you want,65.758
1966,the young rascals,good lovin,65.761
1993,swv,right here,65.761
1965,marvin gaye,how sweet it is to be loved by you,65.769
1978,electric light orchestra,turn to stone,65.772
1998,savage garden,truly madly deeply,65.772
1973,donna fargo,funny face,65.775
2000,pink,there you go,65.777
1970,chairmen of the board,give me just a little more time,65.781
1985,julian lennon,too late for goodbyes,65.789
1986,eddie murphy,party all the time,65.789
1999,sugar ray,someday,65.789
1968,hugo montenegro,the good the bad and the ugly,65.801
2004,d12,my band,65.805
2001,enrique iglesias,hero,65.812
2002,enrique iglesias,hero,65.812
2009,pussycat dolls,i hate this part,65.826
1966,the beatles,we can work it out,65.833
1986,janet jackson,nasty,65.836
1982,diana ross,why do fools fall in love,65.839
1985,abc,be near me,65.842
1971,the grass roots,temptation eyes,65.854
1987,bon jovi,livin on a prayer,65.862
1974,bobby womack,lookin for a love,65.868
2012,usher,climax,65.87
1992,mariah carey,ill be there,65.873
2003,young gunz,cant stop wont stop,65.884
2012,hunter hayes,wanted,65.9
2013,hunter hayes,wanted,65.9
1991,karyn white,romantic,65.903
1983,naked eyes,always something there to remind me,65.909
1993,def leppard,two steps behind,65.909
2011,lady antebellum,just a kiss,65.909
2013,calvin harris featuring ellie goulding,i need your love,65.909
2008,leona lewis,better in time,65.915
2002,mr cheeks,lights camera action,65.917
1969,motherlode,when i die,65.922
1986,pet shop boys,west end girls,65.924
1996,la bouche,sweet dreams,65.926
2009,jason aldean,big green tractor,65.928
1989,paula abdul,forever your girl,65.931
1981,grover washington jr  bill withers,just the two of us,65.939
1986,billy ocean,when the going gets tough the tough get going,65.942
1993,ub40,cant help falling in love,65.942
1970,pacific gas  electric,are you ready,65.944
2015,rachel platten,fight song,65.944
1971,the fuzz,i love you for all seasons,65.946
1986,madonna,live to tell,65.95
2004,ruben studdard,sorry 2004,65.957
2012,justin bieber featuring big sean,as long as you love me,65.971
1967,the casinos,then you can tell me goodbye,65.972
2014,becky g,shower,65.985
1984,rockwell,somebodys watching me,65.994
1973,war,the world is a ghetto,66
1993,boy krazy,thats what love can do,66
2008,david cook,the time of my life,66
2006,eminem,when im gone,66.007
1977,peter mccann,do you wanna make love,66.008
1975,neil sedaka,laughter in the rain,66.01
1980,billy joel,you may be right,66.017
1998,usher,nice  slow,66.03
2003,evanescence featuring paul mccoy,bring me to life,66.032
2007,gym class heroes featuring patrick stump,cupids chokehold,66.038
2013,randy houser,runnin outta moonlight,66.043
1989,taylor dayne,dont rush me,66.045
2015,selena gomez featuring aap rocky,good for you,66.046
1987,ben e king,stand by me,66.061
1991,rod stewart,rhythm of my heart,66.066
2004,hoobastank,the reason,66.071
1983,kenny loggins,heart to heart,66.077
1975,stevie wonder,boogie on reggae woman,66.082
2007,fall out boy,thnks fr th mmrs,66.082
2006,fort minor featuring holly brook and jonah matranga,whered you go,66.083
1989,the bangles,in your room,66.087
2013,blake shelton,sure be cool if you did,66.087
2002,celine dion,a new day has come,66.09
1996,melissa etheridge,i want to come over,66.094
2001,ludacris,southern hospitality,66.127
1998,lisa loeb,i do,66.148
2002,tweet featuring missy elliott,oops oh my,66.149
1990,glenn medeiros and bobby brown,she aint worth it,66.161
2008,sara bareilles,love song,66.162
2007,beyonce featuring shakira,beautiful liar,66.185
2002,jewel,standing still,66.187
2014,luke bryan,play it again,66.197
2003,50 cent,in da club,66.201
1969,the friends of distinction,going in circles,66.204
2000,christina aguilera,what a girl wants,66.204
1982,38 special,caught up in you,66.205
1994,candlebox,far behind,66.22
2015,taylor swift,style,66.22
1965,marvin gaye,ill be doggone,66.221
1982,kool  the gang,take my heart you can have it if you want it,66.227
2005,brooke valentine featuring lil jon and big boi,girlfight,66.236
1991,mariah carey,emotions,66.239
1990,milli vanilli,all or nothing,66.24
1972,cher,the way of love,66.242
2000,smash mouth,then the morning comes,66.245
2004,the black eyed peas,hey mama,66.246
1992,celine dion,if you asked me to,66.25
2014,ti featuring iggy azalea,no mediocre,66.259
2005,fat joe featuring nelly,get it poppin,66.265
1984,cyndi lauper,time after time,66.275
2011,gym class heroes featuring adam levine,stereo hearts,66.275
2012,gym class heroes featuring adam levine,stereo hearts,66.275
2004,usher featuring lil jon and ludacris,yeah,66.277
1977,fleetwood mac,go your own way,66.279
2007,kelly clarkson,never again,66.286
2002,missy elliott,work it,66.289
2003,missy elliott,work it,66.289
2006,d4l,laffy taffy,66.292
2004,jayz,dirt off your shoulder,66.308
1985,survivor,i cant hold back,66.312
1987,whitney houston,didnt we almost have it all,66.312
2011,bruno mars,grenade,66.321
1966,the capitols,cool jerk,66.33
1973,stealers wheel,stuck in the middle with you,66.337
2012,flo rida,good feeling,66.35
1965,hermans hermits,cant you hear my heart beat,66.359
1985,sheena easton,strut,66.361
2014,tove lo,habits stay high,66.361
2015,tove lo,habits stay high,66.361
1980,jd souther,youre only lonely,66.364
2007,the red jumpsuit apparatus,face down,66.374
2015,george ezra,budapest,66.376
1972,roberta flack  donny hathaway,where is the love,66.387
1998,inoj,time after time,66.397
2007,lifehouse,first time,66.4
1968,1910 fruitgum company,simon says,66.406
2013,luke bryan,thats my kind of night,66.406
1983,david bowie,lets dance,66.409
1991,janet jackson,love will never do without you,66.412
2014,john legend,all of me,66.412
2005,carrie underwood,inside your heaven,66.415
2010,usher featuring pitbull,dj got us fallin in love,66.418
2011,usher featuring pitbull,dj got us fallin in love,66.418
2012,train,drive by,66.418
2012,kirko bangz,drank in my cup,66.419
1982,air supply,even the nights are better,66.421
1991,rick astley,cry for help,66.429
1973,dobie gray,drift away,66.447
1980,robbie dupree,steal away,66.447
2000,britney spears,oops i did it again,66.458
1974,roberta flack,feel like makin love,66.463
2010,maroon 5,misery,66.469
2003,christina aguilera,fighter,66.474
1982,elton john,empty garden hey hey johnny,66.476
1987,michael jackson,bad,66.48
1999,citizen king,better days and the bottom drops out,66.48
2001,alicia keys,fallin,66.486
2004,snoop dogg featuring pharrell,drop it like its hot,66.496
2005,snoop dogg featuring pharrell,drop it like its hot,66.496
1970,the poppy family,which way you goin billy,66.5
2011,jason aldean featuring kelly clarkson,dont you wanna stay,66.5
2003,pharrell featuring jayz,frontin,66.518
2011,the black eyed peas,the time dirty bit,66.527
1974,eric clapton,i shot the sheriff,66.535
1974,al wilson,show and tell,66.544
1997,babyface,every time i close my eyes,66.545
1967,aretha franklin,baby i love you,66.547
2006,hinder,lips of an angel,66.549
2007,hinder,lips of an angel,66.549
2012,psy,gangnam style,66.55
2013,psy,gangnam style,66.55
2006,akon featuring eminem,smack that,66.552
2007,akon featuring eminem,smack that,66.552
1982,the alan parsons project,eye in the sky,66.557
1972,james brown,get on the good foot,66.562
1984,yes,owner of a lonely heart,66.562
2001,jagged edge featuring nelly,where the party at,66.563
1987,expose,come go with me,66.566
2002,ll cool j,luv u better,66.569
2010,dj khaled featuring tpain ludacris snoop dogg and rick ross,all i do is win,66.569
1975,eagles,best of my love,66.571
2012,taylor swift,we are never ever getting back together,66.575
1999,lfo,summer girls,66.576
2012,justin bieber,boyfriend,66.583
2011,lady gaga,"yo""u and i",66.585
2001,mariah carey featuring cameo,loverboy,66.622
2008,ti featuring rihanna,live your life,66.629
2009,ti featuring rihanna,live your life,66.629
1965,cher,all i really want to do,66.667
1965,the beatles,help,66.667
1967,bobby vee,come back when you grow up,66.667
1970,charles wright  the watts 103rd street rhythm band,express yourself,66.667
1970,five stairsteps,ooh child,66.667
1970,ronnie dyson,if you let me make love to you then why cant i touch you,66.667
1972,melanie,brand new key,66.667
1973,the allman brothers band,ramblin man,66.667
1973,the stylistics,break up to make up,66.667
1974,the jackson 5,dancing machine,66.667
1975,james taylor,how sweet it is to be loved by you,66.667
1979,leif garrett,i was made for dancin,66.667
1980,irene cara,fame,66.667
1981,devo,whip it,66.667
1981,ronnie milsap,theres no gettin over me,66.667
1982,ray parker jr,the other woman,66.667
1984,kenny rogers and dolly parton,islands in the stream,66.667
1987,chicago,will you still love me,66.667
1993,ace of base,all that she wants,66.667
1994,crystal waters,100 pure love,66.667
1994,ace of base,all that she wants,66.667
1995,crystal waters,100 pure love,66.667
1996,bodeans,closer to free,66.667
1996,brandy,sittin up in my room,66.667
1999,blaque,808,66.667
2011,jason derulo,dont wanna go home,66.667
2005,webbie featuring bun b,give me that,66.709
2011,lupe fiasco,the show goes on,66.717
1998,the lox featuring dmx and lil kim,money power  respect,66.734
2000,ruff endz,no more,66.739
1981,stevie wonder,master blaster jammin,66.741
1996,maxi priest featuring shaggy,that girl,66.743
1990,digital underground,the humpty dance,66.744
2013,sara bareilles,brave,66.747
2014,sara bareilles,brave,66.747
2011,chris brown,yeah 3x,66.756
1971,the osmonds,yoyo,66.757
2000,avant,separated,66.758
2012,2 chainz featuring drake,no lie,66.761
1985,kool  the gang,fresh,66.763
2000,jennifer lopez,waiting for tonight,66.776
1978,eddie money,baby hold on,66.779
1993,shai,comforter,66.779
1974,helen reddy,leave me alone ruby red dress,66.78
1993,whitney houston,im every woman,66.787
1976,elton john,island girl,66.797
1992,firehouse,when i look into your eyes,66.8
1984,the cars,magic,66.805
1999,joey mcintyre,stay the same,66.805
1980,blondie,call me,66.807
1990,michael bolton,when im back on my feet again,66.807
1967,the spencer davis group,gimme some lovin,66.81
1991,michael w smith,place in this world,66.816
1979,donna summer and brooklyn dreams,heaven knows,66.82
2007,justin timberlake,lovestoned,66.837
1967,the tremeloes,here comes my baby,66.839
2000,britney spears,from the bottom of my broken heart,66.862
1984,duran duran,the reflex,66.864
2015,rich homie quan,flex ooh ooh ooh,66.866
1965,little anthony and the imperials,take me back,66.867
1976,eric carmen,all by myself,66.867
1966,the supremes,you cant hurry love,66.877
2011,britney spears,hold it against me,66.877
1967,the association,never my love,66.879
2010,kevin rudolf featuring birdman jay sean and lil wayne,i made it cash money heroes,66.883
2005,trillville featuring cutty,some cut,66.891
1970,rare earth,get ready,66.894
2005,kelly clarkson,since u been gone,66.912
2009,jim jones featuring ron browz and juelz santana,pop champagne,66.912
1989,madonna,express yourself,66.914
1994,melissa etheridge,come to my window,66.914
1987,dan hill featuring vonda shepard,cant we try,66.923
2010,the black eyed peas,imma be,66.928
1979,gq,i do love you,66.935
1991,mariah carey,someday,66.944
2002,jimmy eat world,the middle,66.949
1992,genesis,no son of mine,66.951
1979,amii stewart,knock on wood,66.957
2013,pink featuring nate ruess,just give me a reason,66.962
1994,madonna,ill remember,66.968
1985,starship,we built this city,66.975
1993,aerosmith,livin on the edge,66.975
2007,lloyd featuring lil wayne,you,66.983
1974,anne murray,a love song,66.986
2011,katy perry,last friday night tgif,66.998
1983,rick springfield,affair of the heart,67
1988,whitesnake,is this love,67.01
2010,neon trees,animal,67.018
2011,neon trees,animal,67.018
2006,nelly paul wall and ali  gipp,grillz,67.024
1979,little river band,lonesome loser,67.029
1972,the 5th dimension,last night i didnt get to sleep at all,67.041
1974,ringo starr,oh my my,67.041
1998,usher,my way,67.045
1999,santana featuring rob thomas,smooth,67.055
2000,santana featuring rob thomas,smooth,67.055
1985,madonna,angel,67.063
1988,guns n roses,sweet child o mine,67.073
1996,whitney houston,exhale shoop shoop,67.073
1995,firehouse,i live my life for you,67.078
1988,def leppard,love bites,67.081
1978,bob welch,ebony eyes,67.094
1985,cyndi lauper,all through the night,67.094
1990,cher,just like jesse james,67.097
2010,young money featuring lloyd,bedrock,67.098
1986,simple minds,alive and kicking,67.105
1974,terry jacks,seasons in the sun,67.109
1991,gloria estefan,coming out of the dark,67.114
2008,flo rida featuring william,in the ayer,67.115
1984,tina turner,whats love got to do with it,67.119
2010,enrique iglesias featuring pitbull,i like it,67.126
2005,ti,bring em out,67.143
2005,pretty ricky,your body,67.143
1992,mary j blige,real love,67.15
1993,mary j blige,real love,67.15
1994,immature,never lie,67.164
1996,metallica,until it sleeps,67.164
2004,britney spears,toxic,67.17
1975,donny  marie osmond,morning side of the mountain,67.172
1990,jane child,dont wanna fall in love,67.176
2008,david banner featuring chris brown,get like me,67.181
1977,andy gibb,i just want to be your everything,67.188
2002,kelly clarkson,a moment like this,67.188
2008,lil wayne featuring tpain,got money,67.192
2001,shaggy featuring rikrok,it wasnt me,67.201
1988,joan jett and the blackhearts,i hate myself for loving you,67.203
1987,heart,who will you run to,67.208
2000,dixie chicks,cowboy take me away,67.213
1975,eagles,one of these nights,67.224
1981,reo speedwagon,take it on the run,67.224
1986,the jets,crush on you,67.224
1980,eagles,heartache tonight,67.235
1968,sam and dave,i thank you,67.236
1984,julio iglesias and willie nelson,to all the girls ive loved before,67.241
1999,will smith featuring dru hill and kool moe dee,wild wild west,67.241
2005,green day,wake me up when september ends,67.241
1973,gilbert osullivan,get down,67.257
2013,swedish house mafia featuring john martin,dont you worry child,67.26
2015,omi,cheerleader,67.26
1972,luther ingram,if loving you is wrong i dont want to be right,67.266
2012,flo rida,whistle,67.269
1989,bobby brown,rock witcha,67.273
1998,madonna,ray of light,67.281
2010,katy perry,teenage dream,67.297
2011,katy perry,teenage dream,67.297
1976,barry manilow,i write the songs,67.3
1996,oasis,wonderwall,67.3
2008,leona lewis,bleeding love,67.302
2015,fetty wap,trap queen,67.314
1987,expose,point of no return,67.317
1992,def leppard,lets get rocked,67.327
2007,r kelly featuring usher,same girl,67.334
1982,america,you can do magic,67.34
1983,daryl hall  john oates,one on one,67.347
1990,janet jackson,escapade,67.347
2000,christina aguilera,i turn to you,67.347
1975,ringo starr,no no song,67.354
1986,cyndi lauper,true colors,67.355
1979,maxine nightingale,lead me on,67.361
1995,immature,constantly,67.361
1988,foreigner,say you will,67.368
1991,naughty by nature,opp,67.373
1982,george benson,turn your love around,67.376
2000,montell jordan,get it on tonite,67.378
2010,flo rida featuring david guetta,club cant handle me,67.379
2005,missy elliott featuring ciara and fatman scoop,lose control,67.388
1997,puff daddy featuring faith evans and 112,ill be missing you,67.396
1987,club nouveau,lean on me,67.399
2001,ja rule featuring case,livin it up,67.403
2002,ja rule featuring case,livin it up,67.403
1985,phil collins,dont lose my number,67.405
1991,heavy d  the boyz,now that we found love,67.414
1969,jay and the americans,this magic moment,67.416
1984,peabo bryson,if ever youre in my arms again,67.419
1982,quarterflash,harden my heart,67.421
2010,new boyz featuring ray j,tie me down,67.434
1975,sweet,the ballroom blitz,67.435
2008,david archuleta,crush,67.435
1974,george mccrae,rock your baby,67.442
2007,finger eleven,paralyzer,67.442
2008,finger eleven,paralyzer,67.442
1984,pointer sisters,automatic,67.45
1990,luther vandross,here and now,67.451
1974,olivia newtonjohn,let me be there,67.453
1988,cheap trick,the flame,67.458
1988,icehouse,electric blue,67.46
2004,switchfoot,meant to live,67.464
2002,eve featuring alicia keys,gangsta lovin,67.466
2003,santana featuring michelle branch,the game of love,67.466
1966,paul revere  the raiders,just like me,67.47
1999,tlc,unpretty,67.48
2000,missy elliott featuring nas eve and qtip,hot boyz,67.482
2015,trey songz,slow motion,67.491
2003,jewel,intuition,67.492
1973,king harvest,dancing in the moonlight,67.5
1974,mfsb,tsop the sound of philadelphia,67.5
2009,boys like girls,love drunk,67.514
1980,elton john,little jeannie,67.518
1980,hall  oates,wait for me,67.532
1995,dionne farris,i know,67.539
1978,johnny mathis  deniece williams,too much too little too late,67.544
1985,dire straits,money for nothing,67.547
1981,queen,another one bites the dust,67.55
2004,jojo,leave get out,67.55
2001,case,missing you,67.559
2014,chris brown featuring lil wayne and french montana too short or tyga,loyal,67.563
1968,1910 fruitgum company,1 2 3 red light,67.568
1976,lou rawls,youll never find another love like mine,67.568
2003,50 cent featuring nate dogg,21 questions,67.568
1990,aerosmith,janies got a gun,67.576
1991,roxette,fading like a flower every time you leave,67.596
2006,chris brown,yo excuse me miss,67.598
1981,the alan parsons project,games people play,67.6
1973,paul mccartney  wings,live and let die,67.606
1993,ugly kid joe,cats in the cradle,67.609
1989,sheriff,when im with you,67.614
1975,gloria gaynor,never can say goodbye,67.619
1985,ready for the world,oh sheila,67.619
2001,otown,all or nothing,67.624
2008,neyo,miss independent,67.624
2009,neyo,miss independent,67.624
1981,the pointer sisters,slow hand,67.628
1969,three dog night,easy to be hard,67.647
2005,alicia keys,karma,67.647
2007,elliott yamin,wait for you,67.66
1980,the rolling stones,emotional rescue,67.667
2002,goo goo dolls,here is gone,67.667
2001,faith hill,there youll be,67.669
1984,prince,when doves cry,67.671
1999,eric benet featuring tamia,spend my life with you,67.671
2007,rihanna featuring jayz,umbrella,67.671
2011,david guetta featuring flo rida and nicki minaj,where them girls at,67.671
1967,sonny  cher,the beat goes on,67.672
1984,elton john,sad songs say so much,67.683
1988,inxs,need you tonight,67.686
1982,air supply,sweet dreams,67.692
1979,bobby caldwell,what you wont do for love,67.699
2013,paramore,still into you,67.702
1967,jackie wilson,your love keeps lifting me higher and higher,67.704
1979,village people,ymca,67.705
1978,eric clapton,lay down sally,67.717
1986,moody blues,your wildest dreams,67.727
1978,rick james,you and i,67.734
1972,paul simon,mother and child reunion,67.742
1982,paul davis,65 love affair,67.742
1982,reo speedwagon,keep the fire burnin,67.742
1995,montell jordan,this is how we do it,67.742
2000,dmx,party up up in here,67.742
2007,snoop dogg featuring r kelly,thats that,67.742
2014,miranda lambert and carrie underwood,somethin bad,67.751
1978,bee gees,night fever,67.752
1992,kathy troccoli,everything changes,67.754
1983,prince,little red corvette,67.755
2006,cascada,everytime we touch,67.755
2003,wayne wonder,no letting go,67.769
2003,christina aguilera featuring lil kim,cant hold us down,67.769
1979,diana ross,the boss,67.773
1981,christopher cross,arthurs theme best that you can do,67.778
1982,christopher cross,arthurs theme best that you can do,67.778
1994,jimmy cliff,i can see clearly now,67.778
1993,jade,dont walk away,67.785
1969,elvis presley,suspicious minds,67.79
1981,pat benatar,treat me right,67.79
1974,andy kim,rock me gently,67.803
1997,next,butta love,67.803
1998,next,butta love,67.803
1995,jon b,someone to love,67.808
2015,rae sremmurd,no type,67.808
1996,coolio,1 2 3 4 sumpin new,67.809
1966,the happenings,see you in september,67.822
1994,gabrielle,dreams,67.823
1997,spice girls,2 become 1,67.834
1996,ghost town djs,my boo,67.836
2003,youngbloodz featuring lil jon,damn,67.837
2004,youngbloodz featuring lil jon,damn,67.837
1983,sergio mendes,never gonna let you go,67.838
2003,daniel bedingfield,if youre not the one,67.838
2007,kanye west,stronger,67.85
1973,focus,hocus pocus,67.857
2014,one direction,story of my life,67.866
1986,stevie wonder,go home,67.867
2012,imagine dragons,its time,67.869
2013,imagine dragons,its time,67.869
1990,maxi priest,close to you,67.871
1965,gary lewis  the playboys,count me in,67.879
1996,faith evans,soon as i get home,67.879
1990,chicago,what kind of man would i be,67.881
1993,aerosmith,cryin,67.887
2002,usher,u dont have to call,67.89
2010,uncle kracker,smile,67.901
2014,brantley gilbert,bottoms up,67.901
1976,foghat,slow ride,67.907
1993,michael bolton,to love somebody,67.907
2009,jay sean featuring lil wayne,down,67.925
2010,jay sean featuring lil wayne,down,67.925
2011,jennifer lopez featuring pitbull,on the floor,67.938
2006,lil jon featuring e40 and sean paul,snap yo fingers,67.939
1995,sophie b hawkins,as i lay me down,67.941
1996,sophie b hawkins,as i lay me down,67.941
2009,young money,every girl,67.952
2013,bruno mars,treasure,67.954
1972,the isley brothers,pop that thang,67.961
1986,robert palmer,i didnt mean to turn you on,67.961
1992,color me badd,slow motion,67.965
1991,timmy t,one more try,67.969
1995,total featuring the notorious big,cant you see,67.97
1966,the monkees,last train to clarksville,67.982
1984,steve perry,oh sherrie,67.982
1970,john lennon,instant karma,67.986
1982,the police,every little thing she does is magic,67.988
1966,tommy james and the shondells,hanky panky,68
1974,fancy,wild thing,68
1974,the guess who featuring wolfman jack,clap for the wolfman,68.015
1988,whitney houston,one moment in time,68.015
2012,linkin park,burn it down,68.015
1998,spice girls,too much,68.022
2005,50 cent,just a lil bit,68.03
2006,juelz santana,there it go the whistle song,68.035
1973,the spinners,could it be im falling in love,68.056
1988,def leppard,pour some sugar on me,68.056
2010,bob featuring hayley williams,airplanes,68.056
2011,far east movement featuring ryan tedder,rocketeer,68.069
2007,plies featuring tpain,shawty,68.075
1998,n sync,i want you back,68.077
1976,david bowie,golden years,68.091
2006,neyo,when youre mad,68.091
1967,frankie valli,cant take my eyes off you,68.1
1992,kris kross,jump,68.1
2008,madonna featuring justin timberlake and timbaland,4 minutes,68.101
1982,the gogos,we got the beat,68.103
1988,patrick swayze featuring wendy fraser,shes like the wind,68.103
2012,trey songz,heart attack,68.103
1986,dire straits,walk of life,68.11
1990,taylor dayne,love will lead you back,68.121
2009,ti featuring justin timberlake,dead and gone,68.121
1970,the new seekers,look what theyve done to my song ma,68.127
